source,confidence,target,weight
E2F4,A,KDM6A,1.0
E2F4,A,KATNAL1,-1.0
E2F4,A,JUN,1.0
E2F4,A,ITGB3BP,1.0
E2F4,A,INSIG1,1.0
E2F4,A,IKBKG,-1.0
TFAP2C,A,SULT1E1,1.0
E2F4,A,IFNAR2,1.0
E2F4,A,ID3,1.0
E2F4,A,HNRNPD,1.0
E2F4,A,HMGN2,1.0
CTCF,A,GALT,1.0
E2F4,A,GINS1,1.0
CTCF,A,GRIN3A,1.0
TWIST1,A,MMP2,1.0
TWIST1,A,MDM2,1.0
E2F4,A,EXOSC9,1.0
CTCF,A,HMCN1,1.0
TWIST1,A,GLI1,1.0
TWIST1,A,FOS,1.0
CTCF,A,HS1BP3,1.0
CTCF,A,HSPA5,1.0
E2F4,A,EPAS1,1.0
TWIST1,A,ESR1,-1.0
CTCF,A,IGF2,1.0
TWIST1,A,CLDN7,1.0
CTCF,A,IL19,1.0
E2F4,A,EIF4H,1.0
E2F4,A,EIF2B2,1.0
TWIST1,A,CDKN2A,1.0
TWIST1,A,CDKN1A,1.0
E2F4,A,FAM210B,1.0
USF1,A,APOA2,1.0
TWIST1,A,NR2F1,1.0
E2F4,A,FANCC,1.0
E2F4,A,GADD45A,1.0
E2F4,A,GABPA,1.0
E2F4,A,FST,1.0
USF1,A,APEX1,1.0
USF1,A,APC,1.0
E2F4,A,FOXM1,1.0
USF1,A,ABCA1,1.0
TWIST2,A,SRPX,-1.0
TWIST2,A,NR2F1,1.0
E2F4,A,FEN1,1.0
CTCF,A,HAUS7,-1.0
E2F4,A,FDFT1,1.0
E2F4,A,FBXO5,1.0
TWIST2,A,MMP2,1.0
TWIST1,A,VEGFA,1.0
TWIST1,A,TIMP1,-1.0
CTCF,A,HEBP2,1.0
TWIST1,A,SRPX,-1.0
E2F4,A,SMARCA4,1.0
E2F4,A,SMARCA5,1.0
E2F4,A,SMC2,1.0
CLOCK,A,CRY1,1.0
EGR1,A,AREG,1.0
CLOCK,A,CRY2,1.0
CLOCK,A,NR1D2,1.0
CLOCK,A,PER1,1.0
CLOCK,A,PER2,1.0
EGR1,A,AR,-1.0
CLOCK,A,BHLHE41,1.0
EGR1,A,APOA1,1.0
CREB1,A,ADRA1A,1.0
CREB1,A,AQP2,1.0
CREB1,A,AQP3,1.0
CREB1,A,BCL2,1.0
CREB1,A,BDKRB1,1.0
EGR1,A,APEX1,1.0
CREB1,A,BDNF,1.0
CLOCK,A,PER3,1.0
CLOCK,A,BHLHE40,1.0
CEBPZ,A,SOX9,1.0
CEBPZ,A,MLH1,-1.0
CEBPD,A,ALOX5AP,1.0
EGR1,A,ATF3,1.0
CEBPD,A,C3,1.0
CEBPD,A,CFTR,1.0
CEBPD,A,CYP19A1,-1.0
CEBPD,A,GADD45G,1.0
CEBPD,A,GAPDH,1.0
CEBPD,A,POU5F1,1.0
CEBPD,A,PTGS2,1.0
CEBPD,A,TNF,1.0
CEBPE,A,CTSG,1.0
CEBPE,A,GATA1,-1.0
CEBPE,A,LTF,1.0
CEBPE,A,MYC,-1.0
CEBPE,A,SPI1,-1.0
CEBPG,A,SFTPD,1.0
CEBPZ,A,COL11A1,-1.0
CREB1,A,CCL5,1.0
CREB1,A,CCND1,1.0
CREB1,A,CD4,1.0
CREB1,A,CDK11A,1.0
CREB1,A,HMOX1,-1.0
CREB1,A,HPGD,1.0
CREB1,A,IFNG,1.0
CREB1,A,IL10,1.0
EGR1,A,ANGPTL4,1.0
EGR1,A,ALOX5,1.0
CREB1,A,IL2,1.0
CREB1,A,IL5RA,1.0
EGR1,A,AKR1B1,1.0
CREB1,A,IL6,1.0
CREB1,A,INS,1.0
CREB1,A,JUN,-1.0
CREB1,A,MITF,1.0
CREB1,A,MSMB,1.0
CREB1,A,MUC4,1.0
CREB1,A,MUC5AC,1.0
CREB1,A,NF1,1.0
CREB1,A,HLA-DRA,1.0
EGR1,A,ATP2A2,1.0
CREB1,A,HLA-DQB1,1.0
CREB1,A,G6PC1,1.0
CREB1,A,CGA,1.0
CREB1,A,CIITA,1.0
CREB1,A,CPT1A,1.0
CREB1,A,CXCR4,1.0
CREB1,A,CYP11A1,1.0
CREB1,A,CYP11B1,1.0
CREB1,A,CYP11B2,1.0
CREB1,A,CYP17A1,1.0
CREB1,A,CYP19A1,1.0
CREB1,A,DBH,1.0
CREB1,A,DIO2,1.0
CREB1,A,EGR1,1.0
CREB1,A,ERBB2,1.0
CREB1,A,ETV3,1.0
CREB1,A,FLT1,1.0
CREB1,A,FN1,1.0
CREB1,A,FOS,1.0
CREB1,A,HLA-DOB,1.0
CEBPB,A,XBP1,1.0
CEBPB,A,TOP1,1.0
CEBPB,A,TNFAIP6,1.0
EGR1,A,CHRNA7,1.0
TFAP2C,A,GREB1,1.0
EGR1,A,CHGA,1.0
CEBPB,A,ABCB1,1.0
CEBPB,A,ADM,1.0
CEBPB,A,ALB,1.0
EGR1,A,CEBPB,1.0
EGR1,A,CDKN1A,1.0
EGR1,A,CDK5R1,1.0
EGR1,A,CDK5,1.0
CEBPB,A,ASNS,1.0
CEBPB,A,BCL2L1,1.0
CEBPB,A,CDKN1A,1.0
EGR1,A,CDH13,1.0
CEBPB,A,PTGS2,1.0
CEBPB,A,CRP,1.0
CEBPB,A,CSF3R,1.0
VDR,A,PODXL,1.0
EGR1,A,CD9,1.0
VDR,A,PTH,-1.0
VDR,A,PTK2B,1.0
CEBPA,A,TF,1.0
TFAP2C,A,FOXC1,1.0
EGR1,A,CYP2B6,1.0
CEBPA,A,THOC1,1.0
CEBPA,A,TIMP2,1.0
TFAP2C,A,FREM2,1.0
EGR1,A,CTNNB1,1.0
CEBPA,A,TK1,1.0
CEBPA,A,TNFAIP3,1.0
CEBPA,A,TNFRSF1A,1.0
CEBPA,A,TOP2A,1.0
CEBPA,A,TSC22D3,1.0
EGR1,A,CRABP2,1.0
CEBPA,A,UBE2L3,1.0
CEBPA,A,UHRF1,1.0
CEBPA,A,VLDLR,1.0
EGR1,A,COL2A1,-1.0
CEBPA,A,XDH,1.0
CREB1,A,NOLC1,1.0
EGR1,A,CD44,1.0
EGR1,A,CD19,1.0
CEBPB,A,IL4,1.0
CEBPB,A,IL5,1.0
CEBPB,A,IL6,1.0
EGR1,A,BCL2,1.0
EGR1,A,BCAR1,1.0
CEBPB,A,INSR,1.0
EGR1,A,BAX,1.0
VDR,A,PLD1,1.0
CEBPB,A,PRL,1.0
CEBPB,A,S100A9,1.0
CEBPB,A,SAA1,1.0
CEBPB,A,SAA2,1.0
CEBPB,A,SFTPD,1.0
CEBPB,A,SLC10A1,1.0
CEBPB,A,SLC19A1,1.0
CEBPB,A,STAR,1.0
CEBPB,A,TNF,1.0
CEBPB,A,IL3,1.0
EGR1,A,CD28,1.0
CEBPB,A,IL24,1.0
CEBPB,A,IL12B,1.0
CEBPB,A,CSH2,1.0
EGR1,A,CCND1,1.0
CEBPB,A,CSRP1,1.0
CEBPB,A,CXCL8,1.0
CEBPB,A,CYP19A1,-1.0
EGR1,A,CAT,1.0
ESR1,A,CEBPB,1.0
CEBPB,A,F8,1.0
CEBPB,A,FASLG,1.0
CEBPB,A,FOS,1.0
CEBPB,A,FURIN,1.0
EGR1,A,CACNA1H,1.0
CEBPB,A,GADD45G,1.0
CEBPB,A,GFER,-1.0
CEBPB,A,HP,1.0
CEBPB,A,IGF2,1.0
CEBPB,A,IL10,1.0
CEBPB,A,IL1B,1.0
CREB1,A,NPY,1.0
CREB1,A,NR4A2,1.0
CREB1,A,NR4A3,1.0
E2F4,A,UMPS,1.0
CTCF,A,CDKN2A,1.0
E2F4,A,UBE2C,1.0
E2F4,A,TYMS,1.0
CTCF,A,CELSR3,1.0
CTCF,A,CEP135,1.0
USF2,A,TOP3A,1.0
CTCF,A,CFTR,1.0
USF2,A,THBS1,1.0
USF2,A,TGFB2,1.0
USF2,A,TGFB1,1.0
CTCF,A,CHRNA6,1.0
E2F4,A,TTK,-1.0
CTCF,A,CIDEB,1.0
USF2,A,TERT,1.0
USF2,A,TCN2,1.0
USF2,A,SLC19A1,1.0
E2F4,A,UNG,1.0
CTCF,A,CNIH1,1.0
E2F4,A,USP25,1.0
TFAP2C,A,MYC,1.0
VDR,A,CAMP,1.0
VDR,A,CALB1,1.0
CTCF,A,BICD2,1.0
E2F4,A,WEE1,1.0
E2F4,A,WDR76,1.0
VDR,A,BHLHE40,1.0
VDR,A,BGLAP,1.0
CTCF,A,C1R,1.0
VDR,A,ASAP2,1.0
E2F4,A,VPS4A,1.0
E2F4,A,VHL,1.0
VDR,A,AMH,1.0
CTCF,A,CCL16,1.0
CTCF,A,CCND1,1.0
E2F4,A,VCP,1.0
E2F4,A,VARS2,1.0
E2F4,A,UXT,1.0
CTCF,A,CD80,1.0
CTCF,A,BCL6,-1.0
USF2,A,SF1,1.0
E2F4,A,TSNAX,1.0
E2F4,A,SUZ12,1.0
E2F4,A,SUV39H1,1.0
E2F4,A,STMN1,1.0
CTCF,A,CSF2,1.0
USF2,A,HOXB4,1.0
E2F4,A,STAM,1.0
USF2,A,HMOX1,1.0
E2F4,A,SS18L1,1.0
E2F4,A,SRSF8,1.0
E2F4,A,SRRM2,1.0
E2F4,A,SRPRA,1.0
USF2,A,FMR1,1.0
USF2,A,FCER1A,1.0
CTCF,A,CT45A5,1.0
USF2,A,FBP1,1.0
E2F4,A,SP1,1.0
E2F4,A,SMC4,1.0
USF2,A,IGF2R,1.0
USF2,A,PTPN6,1.0
USF2,A,LIPC,1.0
USF2,A,P4HA1,1.0
USF2,A,PTGS2,1.0
USF2,A,PKLR,1.0
E2F4,A,TRAF2,1.0
USF2,A,PIGR,1.0
E2F4,A,TOPBP1,-1.0
E2F4,A,TOP2A,1.0
E2F4,A,TOP1,1.0
E2F4,A,TMPO,1.0
USF2,A,PF4,1.0
E2F4,A,TK1,1.0
CTCF,A,COL27A1,1.0
USF2,A,PDX1,1.0
E2F4,A,THOP1,1.0
E2F4,A,TFRC,1.0
E2F4,A,TFAM,1.0
E2F4,A,TERT,1.0
CTCF,A,COMMD2,-1.0
USF2,A,MYH9,1.0
E2F4,A,BACH1,1.0
CTCF,A,BCL2L14,-1.0
CTCF,A,BATF2,1.0
CREB1,A,TH,1.0
CREB1,A,TRH,1.0
CREB1,A,UCP1,1.0
CREB1,A,UGT8,1.0
CREB1,A,UXT,1.0
CREB1,A,VEGFA,1.0
EGR1,A,ABCB1,1.0
EGR1,A,ABCA2,1.0
CREB1,A,VIP,1.0
CREB3L1,A,SLC1A4,-1.0
CREM,A,CCNA2,-1.0
CREM,A,CD247,-1.0
CREM,A,DUSP1,-1.0
FOS,A,CREM,1.0
CREM,A,FOS,-1.0
CREM,A,IL2,-1.0
CTCF,A,ABCA2,1.0
CREB1,A,TG,1.0
CTCF,A,ACKR3,1.0
CREB1,A,STAR,1.0
EGR1,A,ACE,1.0
CREB1,A,NTS,1.0
CREB1,A,ODC1,1.0
CREB1,A,PCK1,1.0
CREB1,A,PCK2,1.0
CREB1,A,PCSK1,1.0
CREB1,A,PDYN,1.0
CREB1,A,PLAT,-1.0
CREB1,A,POLD2,1.0
CREB1,A,PPP2CA,1.0
CREB1,A,PSEN1,1.0
CREB1,A,PTGS2,1.0
CREB1,A,RARB,1.0
CREB1,A,REN,1.0
CREB1,A,RRM2B,1.0
EGR1,A,ACHE,1.0
TP53,A,KAT2B,1.0
CREB1,A,SLC20A1,1.0
CREB1,A,SPRY2,1.0
CTCF,A,BBC3,1.0
E4F1,A,CCNA2,-1.0
E2F7,A,SP1,-1.0
VDR,A,DDIT4,1.0
VDR,A,CYP7A1,-1.0
VDR,A,CYP3A4,1.0
VDR,A,CYP24A1,1.0
CTCF,A,ARL2,-1.0
TFAP2C,A,MMP2,1.0
CTCF,A,ASAP2,1.0
CTCF,A,ATN1,1.0
E2F4,A,ZFP36L1,1.0
VDR,A,CDKN1B,1.0
E2F4,A,YWHAH,1.0
VDR,A,CDKN1A,1.0
CTCF,A,ATXN7,1.0
CTCF,A,B4GALNT1,1.0
E2F4,A,YBX3,1.0
VDR,A,CDH1,1.0
E2F4,A,XRCC2,1.0
CTCF,A,APP,1.0
VDR,A,IL12B,-1.0
VDR,A,EGFR,-1.0
CTCF,A,ANKRD46,1.0
VDR,A,IL10,-1.0
E2F7,A,E2F1,-1.0
CTCF,A,ACTR3,-1.0
CTCF,A,ACVR1C,1.0
VDR,A,IGFBP3,-1.0
VDR,A,HOXA10,1.0
E2F6,A,RBBP8,-1.0
E2F6,A,RBBP4,-1.0
E2F6,A,DEPDC5,-1.0
E2F6,A,BRCA1,-1.0
CTCF,A,AHCYL1,1.0
E2F6,A,APAF1,-1.0
E2F5,A,MYC,1.0
CTCF,A,AKT1,-1.0
CTCF,A,ALDH1A3,-1.0
CTCF,A,ANG,1.0
E2F4,A,ZNF267,1.0
VDR,A,ELL,1.0
E2F4,A,AURKB,1.0
TP53,A,ABCB1,-1.0
TP53,A,ABCC1,1.0
E2F1,A,IER3,1.0
E2F1,A,HSPD1,1.0
E2F1,A,HSPA5,-1.0
E2F1,A,HOXB9,1.0
TP53,A,FANCC,1.0
TP53,A,FAS,1.0
E2F1,A,HMGA1,1.0
E2F1,A,IFT80,1.0
E2F1,A,HIVEP1,1.0
E2F1,A,HIC1,1.0
CTCF,A,TBC1D14,1.0
E2F1,A,HFE,1.0
HES1,A,E2F1,-1.0
TP53,A,NOS2,-1.0
TP53,A,NME1,1.0
TP53,A,FBLN1,1.0
HIC1,A,E2F1,-1.0
TP53,A,OGG1,1.0
E2F1,A,IL12RB1,1.0
E2F1,A,IL1B,1.0
TP53,A,EPCAM,1.0
E2F1,A,KDR,1.0
E2F1,A,KDM4C,1.0
TP53,A,EPHA2,1.0
E2F1,A,KCNK10,1.0
E2F1,A,KCNJ2,1.0
E2F1,A,KCNJ16,1.0
E2F1,A,KCNG4,1.0
E2F1,A,JUN,1.0
E2F1,A,JPH2,1.0
E2F1,A,ITGAL,1.0
TP53,A,P2RX6,1.0
E2F1,A,ISYNA1,1.0
E2F1,A,IRF4,1.0
E2F1,A,IRF3,-1.0
E2F1,A,IQCK,1.0
TP53,A,EZH2,-1.0
TP53,A,NLRC4,1.0
E2F1,A,HERPUD1,1.0
TP53,A,FBLN2,1.0
CTCF,A,TERT,-1.0
TP53,A,MLH1,1.0
CTCF,A,TRAPPC6A,1.0
TP53,A,MKI67,1.0
CTCF,A,TRO,-1.0
CTCF,A,TSFM,1.0
TP53,A,MGMT,-1.0
TP53,A,FGF2,-1.0
CTCF,A,TSPAN16,1.0
TP53,A,MET,-1.0
CTCF,A,TYSND1,1.0
E2F1,A,GINS3,1.0
TP53,A,MDM4,1.0
TP53,A,MDM2,1.0
TP53,A,MCM7,-1.0
TP53,A,MAPK8,1.0
CTCF,A,WT1,1.0
TP53,A,MAP4,-1.0
E2F1,A,GMNN,1.0
E2F1,A,KIF23,1.0
TP53,A,MMP2,1.0
E2F1,A,GPR158,1.0
TP53,A,NINJ1,1.0
TP53,A,NHLH2,1.0
E2F1,A,HELLS,1.0
TP53,A,NFATC4,-1.0
E2F1,A,HBA1,1.0
TP53,A,NDRG1,1.0
E2F1,A,HAT1,1.0
CTCF,A,TMBIM6,1.0
E2F1,A,H4-16,1.0
E2F1,A,H2BC11,1.0
TP53,A,MUC2,1.0
CTCF,A,TNFRSF18,-1.0
E2F1,A,H2AC17,1.0
TP53,A,MSH2,1.0
TP53,A,FDXR,1.0
E2F1,A,GRIK5,1.0
TP53,A,MRPL27,1.0
E2F1,A,GNL3,1.0
E2F1,A,KIF24,1.0
E2F1,A,KIF2C,1.0
E2F1,A,KIR3DL1,1.0
TP53,A,DDB2,1.0
TP53,A,DDIT4,1.0
E2F1,A,NELL2,1.0
E2F1,A,NEK4,1.0
TP53,A,DDR1,1.0
E2F1,A,NDUFAF6,1.0
E2F1,A,NDUFAB1,1.0
E2F1,A,NDC1,1.0
E2F1,A,NCOA3,1.0
TP53,A,DKK1,1.0
TP53,A,PCNA,1.0
TP53,A,PCBP4,1.0
E2F1,A,MYH10,1.0
E2F1,A,MYCN,1.0
E2F1,A,MYC,1.0
MYC,A,E2F1,1.0
E2F1,A,MYBL2,1.0
TP53,A,DDB1,1.0
E2F1,A,MYB,1.0
TP53,A,DCC,1.0
E2F1,A,NOL9,1.0
TP53,A,PDGFRB,1.0
E2F1,A,PCSK6,1.0
E2F1,A,PCNA,1.0
CTCF,A,STAB2,-1.0
E2F1,A,PCBD2,1.0
PAX8,A,E2F1,1.0
E2F1,A,PAX2,1.0
E2F1,A,PALD1,1.0
E2F1,A,OSR1,1.0
E2F1,A,OCA2,1.0
E2F1,A,NTNG2,1.0
TP53,A,CTNNB1,-1.0
TP53,A,CTSD,1.0
NR4A1,A,E2F1,1.0
TP53,A,CX3CL1,1.0
TP53,A,CYP24A1,1.0
E2F1,A,NPAT,1.0
E2F1,A,NLRP5,1.0
TP53,A,MAD1L1,-1.0
E2F1,A,MXI1,1.0
E2F1,A,MT1X,1.0
E2F1,A,MAPK8,1.0
E2F1,A,MAPK1,1.0
E2F1,A,MAP3K5,1.0
E2F1,A,MAP3K14,1.0
E2F1,A,MAP2K6,1.0
E2F1,A,MAP1LC3B,1.0
E2F1,A,MAP1LC3A,1.0
TP53,A,E2F7,1.0
TP53,A,EDN2,1.0
E2F1,A,LYPLAL1,1.0
TP53,A,EEF1A1,1.0
E2F1,A,LMO1,1.0
TP53,A,EGFR,1.0
E2F1,A,LINGO1,1.0
TP53,A,EI24,1.0
E2F1,A,KRT75,1.0
E2F1,A,KLF10,1.0
E2F1,A,MCM10,1.0
E2F1,A,MUC4,1.0
TP53,A,E2F3,-1.0
E2F1,A,MCM6,1.0
E2F1,A,MT1G,1.0
E2F1,A,MRAS,1.0
E2F1,A,MPST,1.0
E2F1,A,MPPED2,1.0
E2F1,A,MIPEP,1.0
TP53,A,DUSP1,1.0
E2F1,A,MEMO1,1.0
TP53,A,DUSP11,1.0
E2F1,A,MEIS1,1.0
E2F1,A,MEFV,1.0
TP53,A,DUSP5,1.0
E2F1,A,MDM2,-1.0
E2F1,A,MCPH1,1.0
E2F1,A,MCMDC2,1.0
E2F1,A,MCM9,1.0
E2F1,A,MCM8,1.0
E2F1,A,MCM7,1.0
E2F1,A,MCM5,1.0
YY1,A,CTCF,1.0
E2F1,A,GATA3,1.0
E2F1,A,GALC,1.0
E2F1,A,CCNE1,1.0
E2F1,A,CCND3,1.0
DNMT1,A,SFRP5,1.0
E2F1,A,CCND1,1.0
E2F1,A,CCNA2,1.0
E2F1,A,CCDC7,1.0
E2F1,A,CBX5,1.0
E2F1,A,CBS,1.0
TP53,A,HNF4A,-1.0
TP53,A,HNRNPUL1,1.0
E2F1,A,CASR,1.0
E2F1,A,CASP7,1.0
DNMT1,A,TIMP3,-1.0
TP53,A,DNMT1,-1.0
TP53,A,HRAS,-1.0
E2F1,A,AARS1,1.0
E2F1,A,BRD2,1.0
E2F1,A,CCNE2,1.0
E2F1,A,BRCA1,1.0
DNMT1,A,MSH2,1.0
DDIT3,A,TRIB3,1.0
E2F1,A,CDKN1A,1.0
E2F1,A,CDK1,1.0
E2F1,A,CDH5,1.0
E2F1,A,CDH20,1.0
TP53,A,HIC1,1.0
DDIT3,A,ASNS,-1.0
E2F1,A,CDCA7,1.0
E2F1,A,CDCA4,1.0
E2F1,A,CDC6,1.0
E2F1,A,CDC45,1.0
TP53,A,HIPK2,1.0
DDIT3,A,CXCL8,1.0
E2F1,A,CDC25A,1.0
E2F1,A,CDAN1,1.0
E2F1,A,CD72,1.0
E2F1,A,CD2AP,1.0
DDIT3,A,TNFRSF10B,1.0
DNMT1,A,ESR1,1.0
E2F1,A,CDKN1C,1.0
E2F1,A,BNIP3,1.0
E2F1,A,BMI1,1.0
E2F1,A,ASCC2,1.0
TP53,A,IL1B,1.0
TP53,A,ING1,1.0
E2F1,A,ARMC8,1.0
E2F1,A,ARL10,1.0
TP53,A,INTS7,-1.0
E2F1,A,ACSL1,1.0
E2F1,A,ARHGEF17,1.0
E2F1,A,AR,-1.0
TP53,A,IRF5,1.0
E2F1,A,APAF1,1.0
E2F1,A,ACTR2,1.0
E2F1,A,ADH6,1.0
TP53,A,JAK2,1.0
E2F1,A,AK3,1.0
E2F1,A,ALOX5AP,1.0
E2F1,A,AMPD3,1.0
E2F1,A,ASF1B,1.0
E2F1,A,BMP4,1.0
E2F1,A,ATAD2,1.0
TP53,A,IGFBP3,1.0
E2F1,A,BLVRA,1.0
TP53,A,HSP90AB1,-1.0
E2F1,A,BIRC5,1.0
E2F1,A,BIN1,1.0
E2F1,A,ABCA1,1.0
TP53,A,HTT,1.0
E2F1,A,BHLHE40,1.0
TP53,A,IER3,1.0
E2F1,A,BDH1,1.0
E2F1,A,BCL2,1.0
E2F1,A,BBC3,1.0
TP53,A,IFI16,1.0
E2F1,A,B4GALT1,1.0
E2F1,A,AXIN2,1.0
E2F1,A,AURKA,1.0
TP53,A,IGF1R,-1.0
E2F1,A,ATM,1.0
E2F1,A,ATG10,1.0
TP53,A,COP1,1.0
E2F1,A,CDKN2A,1.0
CUX1,A,RACGAP1,-1.0
ESR1,A,E2F1,1.0
E2F1,A,ERCC8,1.0
E2F1,A,ERCC1,1.0
E2F1,A,ENPEP,1.0
TP53,A,GADD45A,-1.0
E2F1,A,EIF3A,1.0
TP53,A,GADD45G,1.0
E2F1,A,EGFR,1.0
E2F1,A,EGF,1.0
CTCF,A,ZNF613,1.0
CTCF,A,ZNF763,-1.0
E2F1,A,ECT2,1.0
E2F8,A,E2F1,-1.0
E2F1,A,E2F6,1.0
E2F6,A,E2F1,-1.0
E2F1,A,E2F3,1.0
E2F3,A,E2F1,1.0
E2F1,A,ETV4,1.0
E2F1,A,DYNC1I2,1.0
CTCF,A,ZNF462,-1.0
TP53,A,FRMD5,1.0
TP53,A,FLT1,1.0
E2F1,A,FOXM1,1.0
TP53,A,LITAF,1.0
CTCF,A,ZNF20,1.0
E2F1,A,FOXA2,1.0
TP53,A,LIG1,1.0
E2F1,A,FLT1,1.0
TP53,A,LIF,1.0
E2F1,A,FHIT,-1.0
E2F1,A,FH,1.0
E2F1,A,FGFR1,1.0
E2F1,A,FBXO5,1.0
E2F1,A,FBXO43,1.0
TP53,A,KRT8,1.0
E2F1,A,FANCD2,1.0
E2F1,A,FANCA,1.0
E2F1,A,FAM184A,1.0
E2F1,A,EYA2,1.0
E2F1,A,CDKN2C,1.0
E2F1,A,DUSP4,1.0
E2F1,A,DUSP1,1.0
E2F1,A,CTSV,1.0
E2F1,A,CTNND2,1.0
E2F1,A,CTNNBIP1,1.0
E2F1,A,CSRNP3,1.0
TP53,A,GPNMB,1.0
TP53,A,GPX1,1.0
E2F1,A,COX15,1.0
E2F1,A,COQ2,1.0
E2F1,A,CNIH4,1.0
E2F1,A,CLDN5,1.0
E2F1,A,CLDN23,1.0
E2F1,A,CLASP2,1.0
TP53,A,GSTP1,1.0
E2F1,A,CHKA,1.0
TP53,A,HGF,1.0
E2F1,A,CELF1,1.0
E2F1,A,CDT1,1.0
E2F1,A,CUL5,1.0
CTCF,A,ZNF804B,1.0
E2F1,A,CUX1,1.0
CUX1,A,ECT2,-1.0
E2F1,A,DTL,1.0
TP53,A,GDF15,1.0
E2F1,A,DRAM1,1.0
E2F1,A,DPF2,1.0
E2F1,A,DNMT1,1.0
CTCF,A,ZNHIT2,-1.0
TP53,A,GHR,1.0
E2F1,A,DIRAS3,-1.0
E2F1,A,DIRAS2,1.0
E2F1,A,DHFR,1.0
E2F1,A,DGKI,1.0
E2F1,A,DDIT4,1.0
E2F1,A,DCLRE1C,1.0
E2F1,A,DCC,1.0
TP53,A,GML,1.0
E2F1,A,DBF4,1.0
E2F1,A,DAPK2,1.0
TP53,A,KLK3,-1.0
EGR1,A,DMRT1,1.0
E2F1,A,PDK4,1.0
TP53,A,PERP,-1.0
E2F1,A,TMCO5A,1.0
TP53,A,BCL3,-1.0
E2F1,A,TMBIM1,1.0
TP53,A,BDKRB2,1.0
E2F1,A,TK1,1.0
TP53,A,UBE2L3,1.0
E2F1,A,THOC5,1.0
E2F1,A,TMEM132A,1.0
E2F1,A,THBS1,1.0
E2F1,A,TGFB2,1.0
TP53,A,BIRC5,-1.0
E2F1,A,TERT,-1.0
TP53,A,BIRC8,1.0
E2F1,A,TBC1D16,1.0
E2F1,A,TAF5L,1.0
TP53,A,BNIP3L,1.0
TP53,A,BID,1.0
TP53,A,BCL2L14,1.0
E2F1,A,TMEM47,1.0
TP53,A,BCL2L1,1.0
TP53,A,ASCC3,1.0
E2F1,A,TRPM2,1.0
E2F1,A,TRIT1,1.0
E2F1,A,TRERF1,1.0
TP53,A,BAK1,1.0
TP53,A,BAX,1.0
E2F1,A,TP73,1.0
E2F1,A,TP53BP2,1.0
E2F1,A,TP53,1.0
TP53,A,E2F1,-1.0
E2F1,A,TOR1B,1.0
E2F1,A,TOP2A,1.0
E2F1,A,TOP1,1.0
TP53,A,BBC3,1.0
TP53,A,UHRF1,-1.0
TP53,A,BCL2,-1.0
E2F1,A,TNFSF11,1.0
TP53,A,BRCA1,-1.0
E2F1,A,SYNE2,1.0
E2F1,A,SUCLG1,1.0
E2F1,A,STX11,1.0
TP53,A,CASP10,1.0
TP53,A,CASP3,1.0
E2F1,A,SLC35G1,1.0
E2F1,A,SLC35F3,1.0
TP53,A,CASP6,1.0
CTCF,A,MRPL17,1.0
TP53,A,CAV1,1.0
E2F1,A,SLC14A2,1.0
E2F1,A,SKP2,1.0
E2F1,A,SIAH1,1.0
TP53,A,CCNA1,1.0
TP53,A,CCNA2,1.0
E2F1,A,SEZ6L2,1.0
TP53,A,CCNB1,-1.0
TP53,A,CCND1,-1.0
E2F1,A,SERPINE1,-1.0
TP53,A,CCNG1,1.0
TP53,A,CASP1,1.0
E2F1,A,TSNARE1,1.0
E2F1,A,SLC6A19,1.0
CTCF,A,MMP10,-1.0
E2F1,A,STAM,1.0
E2F1,A,ST13,1.0
E2F1,A,SSTR1,1.0
TP53,A,BRCA2,-1.0
TP53,A,BTG1,1.0
E2F1,A,SPOCK1,1.0
TP53,A,BTG2,1.0
TP53,A,BTG3,1.0
E2F1,A,SP3,-1.0
E2F1,A,SP110,1.0
SP1,A,E2F1,1.0
TP53,A,TYRP1,1.0
TP53,A,CABLES1,1.0
E2F1,A,SOCS2,1.0
TP53,A,TYMS,-1.0
E2F1,A,SNTB2,1.0
E2F1,A,SMARCA5,1.0
E2F1,A,SLX4,1.0
TP53,A,ARID3A,1.0
CTCF,A,MCM10,1.0
TP53,A,VCAN,1.0
E2F3,A,MYCN,1.0
E2F3,A,MCM7,1.0
E2F3,A,MCM6,1.0
E2F3,A,MCM5,1.0
E2F3,A,MAP3K5,1.0
E2F3,A,CDKN2A,1.0
E2F3,A,CDKN1A,1.0
E2F3,A,CDC6,1.0
E2F3,A,AURKA,1.0
E2F2,A,PLK4,1.0
E2F2,A,PLK1,1.0
E2F2,A,MYCN,1.0
E2F2,A,MCM7,1.0
E2F2,A,MCM6,1.0
E2F2,A,MCM5,1.0
E2F2,A,MCM10,1.0
E2F2,A,MAP3K5,1.0
E2F3,A,PLK1,1.0
TP53,A,ZMAT3,1.0
E2F3,A,TP53BP2,1.0
TP53,A,AFP,-1.0
E2F4,A,ASF1B,1.0
TP53,A,ACTA2,1.0
TP53,A,ADA,1.0
E2F4,A,APRT,1.0
E2F4,A,ANTKMT,1.0
TP53,A,ADGRB1,1.0
E2F4,A,ANLN,1.0
TP53,A,ADGRB2,1.0
E2F4,A,ANAPC15,1.0
TP63,A,CDKN1A,1.0
E2F4,A,ALDH5A1,1.0
E2F4,A,AKR7A2,1.0
CTCF,A,LPIN3,1.0
E2F4,A,ADARB1,1.0
E2F4,A,ACTR5,1.0
